"","X","id","name","copies","deck_part","deck_id","archetype"
"265",17,40366667,"Dominus Impulse",3,0,"atlantean-mermail-568320","Mermail"
"266",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-568320","Mermail"
"267",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-568320","Mermail"
"268",2,9453320,"Abysstrite, the Atlantean Spirit",1,1,"atlantean-mermail-568320","Mermail"
"269",3,440556,"Bahamut Shark",2,1,"atlantean-mermail-568320","Mermail"
"270",4,90809975,"Toadally Awesome",2,1,"atlantean-mermail-568320","Mermail"
"271",5,21044178,"Abyss Dweller",1,1,"atlantean-mermail-568320","Mermail"
"272",6,86682165,"Icejade Gymir Aegirine",1,1,"atlantean-mermail-568320","Mermail"
"273",7,52687916,"Trishula, Dragon of the Ice Barrier",1,1,"atlantean-mermail-568320","Mermail"
"274",8,46956301,"White Aura Porpoise",1,1,"atlantean-mermail-568320","Mermail"
"275",9,45112597,"Worldsea Dragon Zealantis",1,1,"atlantean-mermail-568320","Mermail"
"276",10,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-568320","Mermail"
"277",11,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-568320","Mermail"
"278",12,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-568320","Mermail"
"279",0,99193444,"Poseidra, the Storming Atlantean",1,2,"atlantean-mermail-568320","Mermail"
"280",1,71978434,"Deep Sea Minstrel",2,2,"atlantean-mermail-568320","Mermail"
"281",2,34267821,"Artifact Lancea",3,2,"atlantean-mermail-568320","Mermail"
"282",3,94145021,"Droll & Lock Bird",2,2,"atlantean-mermail-568320","Mermail"
"283",4,78610936,"Xyz Encore",3,2,"atlantean-mermail-568320","Mermail"
"284",5,65681983,"Crossout Designator",3,2,"atlantean-mermail-568320","Mermail"
"285",6,24224830,"Called by the Grave",1,2,"atlantean-mermail-568320","Mermail"
"286",0,99193444,"Poseidra, the Storming Atlantean",2,0,"atlantean-mermail-568694","Mermail"
"287",1,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-568694","Mermail"
"288",2,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-568694","Mermail"
"289",3,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-568694","Mermail"
"290",4,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-568694","Mermail"
"291",5,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-568694","Mermail"
"292",6,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-568694","Mermail"
"293",7,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-568694","Mermail"
"294",8,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-568694","Mermail"
"295",9,8576764,"Gluttonous Reptolphin Greethys",1,0,"atlantean-mermail-568694","Mermail"
"296",10,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-568694","Mermail"
"297",11,14558127,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-568694","Mermail"
"298",12,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-568694","Mermail"
"299",13,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-568694","Mermail"
"300",14,10963799,"Barrier Statue of the Torrent",1,0,"atlantean-mermail-568694","Mermail"
"301",15,84211599,"Pot of Prosperity",1,0,"atlantean-mermail-568694","Mermail"
"302",16,2295440,"One for One",1,0,"atlantean-mermail-568694","Mermail"
"303",17,40366667,"Dominus Impulse",3,0,"atlantean-mermail-568694","Mermail"
"304",18,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-568694","Mermail"
"305",0,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-568694","Mermail"
